id,x,y,value,data_type,origin
0,684,140,0.4610623016151188,fire,EnvNat
1,951,462,0.9814585098752738,fire,EnvNat
2,762,154,0.4239844794185868,cancer-rate,Phys
3,773,474,0.922612068498076,earthquakes,EnvNat
4,548,270,0.086231649960878,anxiety,Emo
5,252,73,0.0322711803959282,community-resilience,Emo
6,649,73,0.4742271121899069,smog,EnvAntro
7,854,293,0.908826182048957,suicide,Emo
8,848,304,0.3445761566188453,tornados,EnvNat
9,623,141,0.450416936631259,tornados,EnvNat
10,527,137,0.7970410494855217,healthcare-access,Socioeco
11,650,145,0.8145443915699796,gdp,Socioeco
12,888,417,0.635556924019812,isolation,Emo
13,556,144,0.5407073555465498,chronic-pain,Phys
14,908,435,0.4753305927659106,fire,EnvNat
15,592,95,0.1199384474404888,respiratory-illness,Phys
16,882,102,0.6383288919187732,fire,EnvNat
17,640,68,0.1636314387686362,species-extinction,EnvAntro
18,688,63,0.6619644873287227,chronic-disease,Phys
19,641,474,0.8014231228268983,fire,EnvNat
20,656,45,0.0406791097454252,neurological-conditions,Phys
21,337,268,0.2029849578805568,heavy-metal-contamination,EnvAntro
22,891,127,0.0658193710171793,depression,Emo
23,303,277,0.1103283183040637,smog,EnvAntro
24,611,143,0.0543413795247997,community-resilience,Emo
25,554,198,0.656040334077095,fire,EnvNat
26,118,69,0.0330818377909056,migration-rate,Socioeco
27,541,70,0.3587402862155138,fire,EnvNat
28,616,153,0.8229502592649213,gdp,Socioeco
29,362,304,0.2297309654962983,fire,EnvNat
30,687,88,0.1703593416843415,fire,EnvNat
31,231,463,0.5053813757135495,food-insecurity-index,Socioeco
32,792,458,0.8208242825170962,depression,Emo
33,284,165,0.2682784307818934,floods,EnvNat
34,408,464,0.0443756333836631,fire,EnvNat
35,268,121,0.7178429772812036,healthcare-access,Socioeco
36,192,44,0.4883344141520337,deforestation,EnvAntro
37,588,464,0.7349331515040367,poverty-index,Socioeco
38,298,368,0.3356725369805842,fire,EnvNat
39,678,79,0.2242318167277064,fire,EnvNat
40,302,7,0.39439144662421,fire,EnvNat
41,533,462,0.4261975936164444,anxiety,Emo
42,631,275,0.661581865655335,neurological-conditions,Phys
43,637,145,0.090758113514756,fire,EnvNat
44,661,449,0.2140740104068961,fire,EnvNat
45,500,208,0.6575264470892005,fire,EnvNat
46,251,35,0.3207570014981326,poverty-index,Socioeco
47,698,80,0.1677746201133223,gini,Socioeco
48,838,111,0.0822513137374274,chronic-disease,Phys
49,57,75,0.4448390727557769,fire,EnvNat
50,654,135,0.0888341846738262,obesity,Phys
51,821,430,0.1137344077508475,plastic-pollution,EnvAntro
52,603,201,0.3602242381545407,depression,Emo
53,738,36,0.1081325602210055,smog,EnvAntro
54,207,74,0.6410293880508218,fire,EnvNat
55,188,463,0.3358894078451183,rare-earth-mining,EnvAntro
56,707,130,0.6886801060292694,healthcare-access,Socioeco
57,652,130,0.9956886553218376,volcanic-eruptions,EnvNat
58,23,470,0.8944862911983448,depression,Emo
59,530,112,0.0472212531322813,depression,Emo
60,410,469,0.3643763156389564,respiratory-illness,Phys
61,751,75,0.0816189553064179,heavy-metal-contamination,EnvAntro
62,203,158,0.5772347193439653,anxiety,Emo
63,522,77,0.9697925381376724,chronic-pain,Phys
64,554,231,0.8781313677971945,gini,Socioeco
65,627,107,0.9471065425678968,fire,EnvNat
66,382,292,0.1968409029579179,neurological-conditions,Phys
67,192,75,0.6868919107434619,gini,Socioeco
68,319,314,0.7691334456432912,volcanic-eruptions,EnvNat
69,74,45,0.3211289290131399,autoimmune-disorders,Phys
70,593,97,0.1901454755332471,fire,EnvNat
71,129,52,0.478798874227304,chronic-disease,Phys
72,275,248,0.1427033290906644,obesity,Phys
73,552,288,0.4901226264913089,isolation,Emo
74,665,469,0.5565632056478036,fire,EnvNat
75,694,159,0.8302466877296475,food-insecurity-index,Socioeco
76,260,96,0.0087957501743615,fire,EnvNat
77,253,13,0.4307213370905531,fire,EnvNat
78,113,49,0.0982746003668755,autoimmune-disorders,Phys
79,650,53,0.3476172869677462,plastic-pollution,EnvAntro
80,663,435,0.1775587250524704,healthcare-access,Socioeco
81,846,280,0.684190947898068,cancer-rate,Phys
82,844,451,0.4944471363609258,fire,EnvNat
83,374,462,0.4467411770269709,extractive-industry-employment,Socioeco
84,615,423,0.7530930384820437,migration-rate,Socioeco
85,565,132,0.235103919707545,extractive-industry-employment,Socioeco
86,632,163,0.3144873465936316,suicide,Emo
87,557,178,0.0057834409552431,fire,EnvNat
88,541,195,0.2108851687974067,fire,EnvNat
89,238,118,0.7046114652955275,neurological-conditions,Phys
90,953,481,0.9907275872486452,respiratory-illness,Phys
91,599,461,0.6767187451187981,food-insecurity-index,Socioeco
92,488,119,0.5023264339659923,fire,EnvNat
93,802,136,0.9593672390403682,gini,Socioeco
94,188,113,0.8333297232311697,community-resilience,Emo
95,584,480,0.2508053291553063,deforestation,EnvAntro
96,804,430,0.9576339132408564,neurological-conditions,Phys
97,896,314,0.5435897130328731,fire,EnvNat
98,453,463,0.5515247841222772,fire,EnvNat
99,351,218,0.0455969230984013,fire,EnvNat
100,749,157,0.6655064333897309,gdp,Socioeco
101,665,127,0.6293320267253588,gini,Socioeco
102,684,118,0.6590043066855058,obesity,Phys
103,249,120,0.6062422059052011,poverty-index,Socioeco
104,762,144,0.3046435233514075,rare-earth-mining,EnvAntro
105,177,135,0.3167756440512843,fire,EnvNat
106,857,437,0.3976949290633423,migration-rate,Socioeco
107,652,453,0.6779008252296582,gini,Socioeco
108,439,17,0.7386420627040646,neurological-conditions,Phys
109,487,76,0.6910163434731921,cancer-rate,Phys
110,276,99,0.0797445058189496,plastic-pollution,EnvAntro
111,366,5,0.9398140233180212,community-resilience,Emo
112,138,40,0.5301821178461591,deforestation,EnvAntro
113,530,55,0.756323389377547,obesity,Phys
114,894,268,0.2769187431835782,fire,EnvNat
115,607,474,0.0012321341773071,volcanic-eruptions,EnvNat
116,541,285,0.6812571509685674,autoimmune-disorders,Phys
117,571,256,0.8862977491386312,depression,Emo
118,318,279,0.948995007207902,food-insecurity-index,Socioeco
119,352,265,0.0825477963382695,food-insecurity-index,Socioeco
120,789,18,0.7895662056261282,neurological-conditions,Phys
121,481,440,0.1853674550815247,fire,EnvNat
122,192,80,0.2960146770598174,suicide,Emo
123,766,110,0.6475676987012411,gini,Socioeco
124,367,234,0.4539410854530389,heavy-metal-contamination,EnvAntro
