,Country,value
0,Afghanistan,0.3650837183002977
1,Africa,1.0
2,Akrotiri and Dhekelia,-inf
3,Aland Islands,-inf
4,Albania,0.5744773783993682
5,Algeria,0.527738359298766
6,American Samoa,-inf
7,Andorra,-inf
8,Angola,0.9090298311056748
9,Anguilla,-inf
10,Antigua and Barbuda,-inf
11,Argentina,0.7761462263303677
12,Armenia,0.41369163293157923
13,Aruba,-inf
14,Asia,0.8877381031106041
15,Australia,0.8977402260393593
16,Austria,0.38303826214462494
17,Azerbaijan,0.500636573751014
18,Bahamas,0.5355669018646482
19,Bahrain,-inf
20,Bangladesh,0.6281733115511756
21,Barbados,-inf
22,Belarus,0.4588269268864705
23,Belgium,-inf
24,Belize,0.6154417006965356
25,Benin,0.7068052160144622
26,Bermuda,-inf
27,Bhutan,0.4900900034890011
28,Bolivia,0.8646137267753335
29,Bonaire Sint Eustatius and Saba,0.2644261749296523
30,Bosnia and Herzegovina,0.5410690598169093
31,Botswana,0.7158221944821823
32,Bouvet Island,-inf
33,Brazil,0.9155141460003805
34,British Indian Ocean Territory,-inf
35,British Virgin Islands,-inf
36,Brunei,0.37500553890474375
37,Bulgaria,0.5645900438083589
38,Burkina Faso,0.766405691269711
39,Burundi,0.5676472814690269
40,Cambodia,0.7725842436756288
41,Cameroon,0.776847767603731
42,Canada,0.8038922068071839
43,Cape Verde,-inf
44,Cayman Islands,-inf
45,Central African Republic,0.8531521820477062
46,Chad,0.789420045450283
47,Chile,0.6439018147897234
48,China,0.7733227989535274
49,Christmas Island,-inf
50,Cocos Islands,-inf
51,Colombia,0.7534015735706158
52,Comoros,0.46569364655543005
53,Congo,0.7577601141459092
54,Cook Islands,-inf
55,Costa Rica,0.6025531754724786
56,Cote d'Ivoire,0.7487030934174568
57,Croatia,0.48777278590473644
58,Cuba,0.6808827857159426
59,Curacao,-inf
60,Cyprus,0.39389713216638783
61,Czechia,0.281611295378489
62,Democratic Republic of Congo,0.9164709245185951
63,Denmark,-inf
64,Djibouti,-inf
65,Dominica,-inf
66,Dominican Republic,0.5515914541713499
67,East Timor,0.5133553176370076
68,Ecuador,0.6617117436407488
69,Egypt,0.5021809224557473
70,El Salvador,0.5219612556148071
71,Equatorial Guinea,0.43564686871742714
72,Eritrea,0.46296786682562874
73,Estonia,-inf
74,Eswatini,0.6043167927781349
75,Ethiopia,0.7871108072559748
76,Europe,0.857332578376926
77,European Union (27),0.6858082950426244
78,Falkland Islands,0.2548738401225805
79,Faroe Islands,-inf
80,Fiji,0.5332578109272499
81,Finland,0.3800424415771219
82,France,0.499780219510846
83,French Guiana,0.5275637314907167
84,French Polynesia,-inf
85,French Southern Territories,-inf
86,Gabon,0.6443300035728233
87,Gambia,0.6175547407763777
88,Georgia,0.515878163141627
89,Germany,0.4592645785420726
90,Ghana,0.7998249001568767
91,Gibraltar,-inf
92,Greece,0.5652984098141274
93,Greenland,-inf
94,Grenada,-inf
95,Guadeloupe,-inf
96,Guam,0.33977796764469337
97,Guatemala,0.698627878983456
98,Guernsey,-inf
99,Guinea,0.8145927708918452
100,Guinea-Bissau,0.6692764606140548
101,Guyana,0.6884435800243758
102,Haiti,0.4944088858246211
103,Heard Island and McDonald Islands,-inf
104,Honduras,0.7208351729744503
105,Hong Kong,0.2743964076712521
106,Hungary,0.42593483747209654
107,Iceland,0.5517390871804223
108,India,0.7890433978223388
109,Indonesia,0.7283099432256344
110,Iran,0.6808629978169324
111,Iraq,0.6549602475392844
112,Ireland,0.33416844855336536
113,Isle of Man,-inf
114,Israel,0.4595847196501009
115,Italy,0.588289226025049
116,Jamaica,0.4537359312497568
117,Japan,0.4532232373416218
118,Jersey,-inf
119,Jordan,0.3052793277644623
120,Kazakhstan,0.6534625773464653
