sov_a3,Country,value
AFG,Afghanistan,1114
ALB,Albania,62291
DZA,Algeria,25372
AGO,Angola,38592704
ARG,Argentina,3002592
ARM,Armenia,2835
AU1,Australia,31066002
AUT,Austria,1573
AZE,Azerbaijan,15072
BGD,Bangladesh,174806
BLR,Belarus,6749
BEL,Belgium,0
BLZ,Belize,136868
BEN,Benin,792129
BTN,Bhutan,12307
BOL,Bolivia,16436941
BIH,Bosnia and Herzegovina,32780
BWA,Botswana,941996
BRA,Brazil,43714092
BRN,Brunei,1348
BGR,Bulgaria,51512
BFA,Burkina Faso,2490030
BDI,Burundi,54629
KHM,Cambodia,2803942
CMR,Cameroon,3043345
CAN,Canada,5117483
CAF,Central African Republic,13187613
TCD,Chad,3875037
CHL,Chile,236495
CH1,China,2844021
COL,Colombia,1939438
CRI,Costa Rica,106841
HRV,Croatia,11771
CU1,Cuba,481343
CYP,Cyprus,1938
CZE,Czechia,224
DN1,Denmark,0
DJI,Djibouti,0
DOM,Dominican Republic,40126
TLS,East Timor,19245
ECU,Ecuador,333011
EGY,Egypt,15526
SLV,El Salvador,22706
GNQ,Equatorial Guinea,4323
ERI,Eritrea,7308
EST,Estonia,0
ETH,Ethiopia,3706838
FJI,Fiji,28211
FI1,Finland,1485
FR1,France,14826
GAB,Gabon,238449
GMB,Gambia,142540
GEO,Georgia,20201
DEU,Germany,6806
GHA,Ghana,4732731
GRC,Greece,52218
GTM,Guatemala,676940
GIN,Guinea,6285796
GNB,Guinea-Bissau,385116
GUY,Guyana,556615
HTI,Haiti,13372
HND,Honduras,1037256
HUN,Hungary,3587
ISL,Iceland,40240
IND,India,3847091
IDN,Indonesia,1197480
IRN,Iran,481160
IRQ,Iraq,292491
IRL,Ireland,615
IS1,Israel,6848
ITA,Italy,81226
JAM,Jamaica,6120
JPN,Japan,6060
JOR,Jordan,353
KA1,Kazakhstan,284193
KEN,Kenya,247189
KOS,Kosovo,12872
KWT,Kuwait,532
KGZ,Kyrgyzstan,1701
LAO,Laos,3937034
LVA,Latvia,157
LBN,Lebanon,10051
LSO,Lesotho,66826
LBR,Liberia,551515
LBY,Libya,2829
LTU,Lithuania,666
LUX,Luxembourg,0
MDG,Madagascar,4701825
MWI,Malawi,617168
MYS,Malaysia,113020
MLI,Mali,3991939
MRT,Mauritania,90091
MEX,Mexico,3470503
MDA,Moldova,2773
MNG,Mongolia,59337
MNE,Montenegro,23891
MAR,Morocco,5129
MOZ,Mozambique,15689374
MMR,Myanmar,5564356
NAM,Namibia,742665
NPL,Nepal,402294
NL1,Netherlands,276
NZ1,New Zealand,23632
NIC,Nicaragua,759127
NER,Niger,369425
NGA,Nigeria,6623014
PRK,North Korea,15175
MKD,North Macedonia,86630
CYN,Northern Cyprus,802
NOR,Norway,195
OMN,Oman,0
PAK,Pakistan,232590
PAN,Panama,80945
PNG,Papua New Guinea,313375
PRY,Paraguay,2858337
PER,Peru,1336462
PHL,Philippines,349986
POL,Poland,2923
PRT,Portugal,167874
QAT,Qatar,0
ROU,Romania,63536
RUS,Russia,12454984
RWA,Rwanda,18068
SAU,Saudi Arabia,7458
SEN,Senegal,2203849
SLE,Sierra Leone,1890111
SVK,Slovakia,0
SVN,Slovenia,207
SLB,Solomon Islands,1881
SOM,Somalia,13687
ZAF,South Africa,3301879
KOR,South Korea,42
SDS,South Sudan,21076034
ESP,Spain,64737
LKA,Sri Lanka,15654
SDN,Sudan,3926601
SUR,Suriname,140468
SWE,Sweden,972
CHE,Switzerland,0
SYR,Syria,64168
TWN,Taiwan,166
TJK,Tajikistan,1967
THA,Thailand,2008339
TGO,Togo,527255
TTO,Trinidad and Tobago,7035
TUN,Tunisia,3349
TUR,Turkey,268932
TKM,Turkmenistan,11888
UGA,Uganda,1044733
UKR,Ukraine,967889
ARE,United Arab Emirates,239
GB1,United Kingdom,3449
URY,Uruguay,11593
UZB,Uzbekistan,29459
VUT,Vanuatu,6118
VEN,Venezuela,8403487
VNM,Vietnam,526402
SAH,Western Sahara,0
YEM,Yemen,18
ZMB,Zambia,18210084
ZWE,Zimbabwe,1315188
