,sov_a3,Country,value
0,AFG,Afghanistan,0.3987745245611376
1,ALB,Albania,0.627491536760077
2,DZA,Algeria,0.5764393282226211
3,AGO,Angola,0.9929172968839053
4,ARG,Argentina,0.8477708724885668
5,ARM,Armenia,0.4518680948174091
6,AU1,Australia,0.9805858598267756
7,AUT,Austria,0.41838595702536063
8,AZE,Azerbaijan,0.5468365245235718
9,BGD,Bangladesh,0.6861426601603975
10,BLR,Belarus,0.5011685825838454
11,BEL,Belgium,-inf
12,BLZ,Belize,0.6722361455420699
13,BEN,Benin,0.7720309064609128
14,BTN,Bhutan,0.5353166913149995
15,BOL,Bolivia,0.9444023672955614
16,BIH,Bosnia and Herzegovina,0.5910002179438574
17,BWA,Botswana,0.7818799934543937
18,BRA,Brazil,1.0
19,BRN,Brunei,0.4096119547065829
20,BGR,Bulgaria,0.6166917750805833
21,BFA,Burkina Faso,0.8371314573542291
22,BDI,Burundi,0.6200311420079259
23,KHM,Cambodia,0.8438801814814424
24,CMR,Cameroon,0.8485371536830498
25,CAN,Canada,0.8780773189788044
26,CAF,Central African Republic,0.9318831235703829
27,TCD,Chad,0.8622696316589246
28,CHL,Chile,0.7033226276215897
29,CH1,China,0.8446868924220926
30,COL,Colombia,0.8229272883024384
31,CRI,Costa Rica,0.6581582361177717
32,HRV,Croatia,0.5327856353019517
33,CU1,Cuba,0.7437162917585979
34,CYP,Cyprus,0.43024690976891156
35,CZE,Czechia,0.30759906508137336
36,DN1,Denmark,-inf
37,DJI,Djibouti,-inf
38,DOM,Dominican Republic,0.602493644233784
39,TLS,East Timor,0.5607289847783458
40,ECU,Ecuador,0.7227760996720566
41,EGY,Egypt,0.5485233894523992
42,SLV,El Salvador,0.5701290994738929
43,GNQ,Equatorial Guinea,0.4758494127268746
44,ERI,Eritrea,0.505691658450285
45,EST,Estonia,-inf
46,ETH,Ethiopia,0.8597472913931881
47,FJI,Fiji,0.5824681281626294
48,FI1,Finland,0.4151136749087042
49,FR1,France,0.5459011438482331
50,GAB,Gabon,0.7037903306985663
51,GMB,Gambia,0.6745441820580248
52,GEO,Georgia,0.5634846445523001
53,DEU,Germany,0.5016466217900272
54,GHA,Ghana,0.8736346714587458
55,GRC,Greece,0.6174655108102419
56,GTM,Guatemala,0.7630989450414954
57,GIN,Guinea,0.8897653569314773
58,GNB,Guinea-Bissau,0.7310389069769508
59,GUY,Guyana,0.7519748144056418
60,HTI,Haiti,0.5400341305315185
61,HND,Honduras,0.787355581695349
62,HUN,Hungary,0.46524113180870447
63,ISL,Iceland,0.6026549011730867
64,IND,India,0.8618582260792406
65,IDN,Indonesia,0.7955201417776145
