Country,value
Africa,0.9160039323744112
Albania,0.6217665005022867
Algeria,0.7551752153528574
Angola,0.689870987309313
Antigua and Barbuda,0.35904736907699336
Argentina,0.7275509977412874
Asia,0.9756076823502313
Australia,0.4776761215978551
Bahamas,0.4293247895953771
Bahrain,0.3874162997455314
Bangladesh,0.7713513192697291
Barbados,0.377434296945735
Belgium,0.4311103533997343
Belize,0.4851448982883345
Benin,0.6578197088201923
Bosnia and Herzegovina,0.6090118704025963
Brazil,0.836637624372733
Brunei,0.36454597432299923
Bulgaria,0.4484437004307559
Burkina Faso,0.7061488912798021
Cambodia,0.6922991126900343
Cameroon,0.7396575894874942
Canada,0.5612608048327957
Cape Verde,0.4559766901363352
Chile,0.5760747380537372
China,0.9099090126005043
Colombia,0.6330197294506412
Comoros,0.6125187745819264
Congo,0.618017544593783
Costa Rica,0.48258736243003236
Cote d'Ivoire,0.7014434762262376
Croatia,0.544761340241736
Cyprus,0.37515070364531045
Democratic Republic of Congo,0.7876767624214197
Denmark,0.33257988972520613
Djibouti,0.5150140300911393
Dominica,0.38946268072657264
Dominican Republic,0.678728701810831
EU-27,0.696441710622225
East Timor,0.5437998727400338
Ecuador,0.6464823360074486
Egypt,0.7902915445902439
El Salvador,0.556594650660558
Equatorial Guinea,0.5099944283852906
Eritrea,0.63212144300845
Estonia,0.3565936696394719
Europe,0.7793992102027995
Fiji,0.46033277190690153
Finland,0.43878233748883394
France,0.5703817553626024
French Guiana,0.26959613526538595
Gabon,0.4848664536343444
Gambia,0.5834116057307884
Georgia,0.3192402861759561
Germany,0.603891788343086
Ghana,0.7336861890930584
Greece,0.46898771527542255
Grenada,0.4020868709582985
Guadeloupe,0.2836055333742051
Guatemala,0.7050318362567075
Guinea,0.663635379324156
Guinea-Bissau,0.5533462223181074
Guyana,0.5699486492604321
Haiti,0.6901109085196956
Honduras,0.6628761598776489
Hong Kong,0.4828773969231551
Iceland,0.2796857750591462
India,0.9130953052547062
Indonesia,0.7593633234797804
Iran,0.7310479523484634
Iraq,0.7305745589435717
Ireland,0.4399191605752236
Israel,0.48550480942174706
Italy,0.5890105219884347
Jamaica,0.6027774055519479
Japan,0.5843394026958579
Jordan,0.6539643278704138
Kazakhstan,0.6076825868743296
Kenya,0.7011181326365874
Kiribati,0.23992797305521898
Kuwait,0.43918497963955344
Latvia,0.3825026940719309
Lebanon,0.5992438175782127
Lesotho,0.5753892938755127
Liberia,0.5906065070809904
Libya,0.6771306589449146
Lithuania,0.3870946959468189
Macau,0.5350876214862635
Madagascar,0.5650587025687922
Malaysia,0.7586979280896338
Maldives,0.22823720611351062
Malta,0.3097626231455062
Marshall Islands,0.15455658263465635
Martinique,0.27506980104441
Mauritania,0.5542406178291381
Mauritius,0.31776839858643796
Mexico,0.7231716295339775
Micronesia,0.34018410092546525
Monaco,0.08971731786729721
Montenegro,0.15455658263465635
Morocco,0.7021791485358042
Mozambique,0.7236637048632211
Myanmar,0.7236637048632211
Namibia,0.5544973575061154
Netherlands,0.5368875470338645
New Zealand,0.4151061915501931
Nicaragua,0.6475304678090035
Nigeria,0.8073365738148903
North America,0.8067191900283682
North Korea,0.3218995107236938
Norway,0.4074484166839755
Oceania,0.6591299171214251
Oman,0.39755299490218055
Pakistan,0.7867215962944238
Palau,0.26498652659508437
Palestine,0.4271928578954002
Panama,0.5853533470377589
Papua New Guinea,0.65173071181042
Peru,0.6606632851851398
Philippines,0.8477685460925263
Poland,0.5326738952955572
Portugal,0.4597517921422834
Puerto Rico,0.3993937825662453
Qatar,0.4088485505285397
Reunion,0.3038654339301447
Romania,0.6055018380876133
Russia,0.7137096571621941
Saint Kitts and Nevis,0.2550149936437561
Saint Lucia,0.4660671576569087
Saint Martin,0.11591743697599227
Saint Vincent and the Grenadines,0.39683543707705027
Samoa,0.4158813303964763
Sao Tome and Principe,0.4255992904809599
Saudi Arabia,0.49492743249131543
Senegal,0.6183317044910738
Seychelles,0.19491107913759986
Sierra Leone,0.6366712295695346
Singapore,0.43542942720159195
Sint Maarten,0.06124159692888525
Slovakia,0.41526857006240414
Slovenia,0.3756149675147783
Solomon Islands,0.4552216740279964
Somalia,0.2083545383365007
South Africa,0.7509263376717165
South America,0.859211480517845
South Korea,0.5243092873928851
Spain,0.553032090998528
Sri Lanka,0.666379963030729
Sudan,0.7564044395391656
Suriname,0.5596933367513337
Sweden,0.4657927145799305
Syria,0.3466527781641528
Taiwan,0.497404022934748
Tanzania,0.8002535828457839
Thailand,0.7873485909170904
Togo,0.6527679196915912
Tonga,0.36241116691298947
Trinidad and Tobago,0.6243449660278274
Tunisia,0.7010452118059354
Turkey,0.7982602934401489
Ukraine,0.7181865469510839
United Arab Emirates,0.47627184966675434
United Kingdom,0.574507420635111
United States,0.6966256271420693
Uruguay,0.6375086605093042
Venezuela,0.7479332912235108
Vietnam,0.7760962171975458
Western Sahara,0.46391418217354213
World,1.0
Yemen,0.7014669837682568
Zimbabwe,0.7342050828460336
