Country,gini
South Africa,0.63
Namibia,0.591
Colombia,0.5479999999999999
Eswatini,0.546
Botswana,0.5329999999999999
Brazil,0.52
Zambia,0.515
Angola,0.513
Mozambique,0.504
Zimbabwe,0.503
Republic of the Congo,0.489
Panama,0.489
Guatemala,0.483
Honduras,0.48200000000000004
Costa Rica,0.46950000000000003
Nicaragua,0.462
Comoros,0.45299999999999996
Paraguay,0.451
Guyana,0.45
Lesotho,0.449
DR Congo,0.447
Venezuela,0.447
Ecuador,0.45049999999999996
Turkey,0.444
South Sudan,0.441
Grenada,0.43799999999999994
Rwanda,0.43700000000000006
Saint Lucia,0.47450000000000003
Mexico,0.435
Ghana,0.435
Chile,0.43
Central African Republic,0.43
Uganda,0.42700000000000005
Madagascar,0.426
Cameroon,0.42200000000000004
Papua New Guinea,0.419
Djibouti,0.41600000000000004
United States,0.40549999999999997
Haiti,0.41100000000000003
Bolivia,0.409
Turkmenistan,0.408
Philippines,0.40700000000000003
Argentina,0.40700000000000003
Malaysia,0.40700000000000003
Sao Tome and Principe,0.40700000000000003
Uruguay,0.406
Tanzania,0.405
Peru,0.40299999999999997
Jamaica,0.402
Trinidad and Tobago,0.402
Micronesia,0.401
Morocco,0.395
Suriname,0.392
Tuvalu,0.391
Bulgaria,0.39
Laos,0.38799999999999996
El Salvador,0.38799999999999996
Gambia,0.38799999999999996
Kenya,0.387
Malawi,0.385
Gabon,0.38
Togo,0.379
Israel,0.379
Sri Lanka,0.377
Burundi,0.375
Burkina Faso,0.374
Chad,0.374
Solomon Islands,0.371
Dominican Republic,0.37
Mauritius,0.368
Yemen,0.36700000000000005
Lithuania,0.36700000000000005
Senegal,0.36200000000000004
Indonesia,0.37200000000000005
Vietnam,0.361
China,0.36400000000000005
Mali,0.35700000000000004
Sierra Leone,0.35700000000000004
Marshall Islands,0.355
Liberia,0.353
Nigeria,0.35100000000000003
Russia,0.3555
Qatar,0.35100000000000003
Ethiopia,0.35
Thailand,0.349
Iran,0.348
Italy,0.348
Portugal,0.34600000000000003
Benin,0.344
Australia,0.34299999999999997
Latvia,0.34299999999999997
Montenegro,0.34299999999999997
Sudan,0.342
Tajikistan,0.34
Spain,0.33899999999999997
Romania,0.33899999999999997
Tunisia,0.337
Jordan,0.337
Switzerland,0.337
Palestine,0.337
Georgia,0.3385
North Macedonia,0.335
Bangladesh,0.33399999999999996
Guinea-Bissau,0.33399999999999996
Serbia,0.331
Bosnia and Herzegovina,0.33
Japan,0.32899999999999996
South Korea,0.3215
Niger,0.32899999999999996
Greece,0.32899999999999996
India,0.32799999999999996
Luxembourg,0.327
Germany,0.32049999999999995
United Kingdom,0.324
Nauru,0.324
Vanuatu,0.32299999999999995
Seychelles,0.321
Mauritania,0.32
Egypt,0.319
Estonia,0.318
Canada,0.317
France,0.315
Mongolia,0.314
Malta,0.314
Cyprus,0.313
Uzbekistan,0.312
Myanmar,0.307
Austria,0.307
Fiji,0.307
Ireland,0.301
Sweden,0.298
Pakistan,0.29600000000000004
Guinea,0.29600000000000004
Iraq,0.295
Albania,0.294
Maldives,0.293
Kazakhstan,0.292
Hungary,0.292
Croatia,0.289
Timor-Leste,0.287
Poland,0.285
Bhutan,0.285
Denmark,0.28300000000000003
Armenia,0.27899999999999997
Kiribati,0.278
Finland,0.27699999999999997
Norway,0.27699999999999997
Algeria,0.276
Tonga,0.271
Syria,0.266
Belgium,0.266
United Arab Emirates,0.262
Kyrgyzstan,0.276
Czech Republic,0.262
Iceland,0.261
Netherlands,0.257
Moldova,0.257
Ukraine,0.256
Belarus,0.244
Slovenia,0.243
Slovakia,0.24100000000000002
Ivory Coast,0.353
Taiwan,0.336
Somalia,0.368
Hong Kong,0.539
Singapore,0.45899999999999996
Cape Verde,0.424
Jersey,0.003
Greenland,0.33899999999999997
Falkland Islands,0.36
