sov_a3,Country,value
DZA,Algeria,0.276
AFG,Afghanistan,0.6169608589867067
AGO,Angola,0.513
ALB,Albania,0.294
ARE,United Arab Emirates,0.262
ARG,Argentina,0.407
ARM,Armenia,0.2789999999999999
AU1,Australia,0.3429999999999999
AUT,Austria,0.307
AZE,Azerbaijan,0.4992707039403245
BDI,Burundi,0.375
BEL,Belgium,0.266
BEN,Benin,0.344
BFA,Burkina Faso,0.374
BGD,Bangladesh,0.3339999999999999
BGR,Bulgaria,0.39
BIH,Bosnia and Herzegovina,0.33
BLR,Belarus,0.244
BLZ,Belize,0.7315543991531595
BOL,Bolivia,0.409
BRA,Brazil,0.52
BTN,Bhutan,0.285
BWA,Botswana,0.5329999999999999
CAF,Central African Republic,0.43
CAN,Canada,0.317
CHE,Switzerland,0.337
CHL,Chile,0.43
CH1,China,0.364
CMR,Cameroon,0.422
COL,Colombia,0.5479999999999999
CRI,Costa Rica,0.4695
CU1,Cuba,0.4776177970292027
CYP,Cyprus,0.313
CZE,Czechia,0.4080283814862893
DEU,Germany,0.3204999999999999
DJI,Djibouti,0.416
DN1,Denmark,0.283
DOM,Dominican Republic,0.37
ECU,Ecuador,0.4504999999999999
ERI,Eritrea,0.7534062315003456
ESP,Spain,0.3389999999999999
EST,Estonia,0.318
ETH,Ethiopia,0.35
FI1,Finland,0.2769999999999999
FJI,Fiji,0.307
FR1,France,0.315
GAB,Gabon,0.38
GB1,United Kingdom,0.324
GEO,Georgia,0.3385
GHA,Ghana,0.435
GIN,Guinea,0.296
GNB,Guinea-Bissau,0.3339999999999999
GNQ,Equatorial Guinea,0.631660443465925
GRC,Greece,0.3289999999999999
GTM,Guatemala,0.483
GUY,Guyana,0.45
HND,Honduras,0.482
HRV,Croatia,0.289
HTI,Haiti,0.411
HUN,Hungary,0.292
IDN,Indonesia,0.372
IND,India,0.3279999999999999
IRL,Ireland,0.301
IRQ,Iraq,0.295
ISL,Iceland,0.261
IS1,Israel,0.379
ITA,Italy,0.348
JAM,Jamaica,0.402
JOR,Jordan,0.337
JPN,Japan,0.3289999999999999
KA1,Kazakhstan,0.292
KEN,Kenya,0.387
KHM,Cambodia,0.5667107654801183
KWT,Kuwait,0.4397951647271093
LBN,Lebanon,0.5847575677873443
LBR,Liberia,0.353
LBY,Libya,0.5371502771600224
LKA,Sri Lanka,0.377
LSO,Lesotho,0.449
LTU,Lithuania,0.367
LUX,Luxembourg,0.327
LVA,Latvia,0.3429999999999999
MAR,Morocco,0.395
MDA,Moldova,0.257
MDG,Madagascar,0.426
MEX,Mexico,0.435
MKD,North Macedonia,0.335
MLI,Mali,0.357
MMR,Myanmar,0.307
MNE,Montenegro,0.3429999999999999
MNG,Mongolia,0.314
MOZ,Mozambique,0.504
MRT,Mauritania,0.32
MWI,Malawi,0.385
MYS,Malaysia,0.407
NAM,Namibia,0.591
NER,Niger,0.3289999999999999
NGA,Nigeria,0.351
NIC,Nicaragua,0.462
NL1,Netherlands,0.257
NOR,Norway,0.2769999999999999
NPL,Nepal,0.5450985953537528
NZ1,New Zealand,0.4193869928423983
OMN,Oman,0.4730162582613562
PAK,Pakistan,0.296
PAN,Panama,0.489
PER,Peru,0.4029999999999999
PHL,Philippines,0.407
PNG,Papua New Guinea,0.419
POL,Poland,0.285
PRT,Portugal,0.346
PRY,Paraguay,0.451
QAT,Qatar,0.351
ROU,Romania,0.3389999999999999
RWA,Rwanda,0.437
SAU,Saudi Arabia,0.3146755044916298
SDN,Sudan,0.342
SEN,Senegal,0.362
SLB,Solomon Islands,0.371
SLE,Sierra Leone,0.357
SLV,El Salvador,0.3879999999999999
SOM,Somalia,0.368
SDS,South Sudan,0.441
SUR,Suriname,0.392
SVN,Slovenia,0.243
SWE,Sweden,0.298
TCD,Chad,0.374
TGO,Togo,0.379
THA,Thailand,0.349
TJK,Tajikistan,0.34
TKM,Turkmenistan,0.408
TTO,Trinidad and Tobago,0.402
TUN,Tunisia,0.337
UGA,Uganda,0.427
UKR,Ukraine,0.256
URY,Uruguay,0.406
US1,United States of America,0.4054999999999999
UZB,Uzbekistan,0.312
VNM,Vietnam,0.361
VUT,Vanuatu,0.3229999999999999
KOS,Kosovo,0.6473988766511726
ZAF,South Africa,0.63
ZMB,Zambia,0.515
ZWE,Zimbabwe,0.503
