sov_a3,Country,value
AFG,Afghanistan,0.3650837183002977
ALB,Albania,0.5744773783993682
DZA,Algeria,0.527738359298766
AGO,Angola,0.9090298311056748
ARG,Argentina,0.7761462263303677
ARM,Armenia,0.4136916329315792
AU1,Australia,0.8977402260393593
AUT,Austria,0.3830382621446249
AZE,Azerbaijan,0.500636573751014
BGD,Bangladesh,0.6281733115511756
BLR,Belarus,0.4588269268864705
BEL,Belgium,0.0
BLZ,Belize,0.6154417006965356
BEN,Benin,0.7068052160144622
BTN,Bhutan,0.4900900034890011
BOL,Bolivia,0.8646137267753335
BIH,Bosnia and Herzegovina,0.5410690598169093
BWA,Botswana,0.7158221944821823
BRA,Brazil,0.9155141460003804
BRN,Brunei,0.3750055389047437
BGR,Bulgaria,0.5645900438083589
BFA,Burkina Faso,0.766405691269711
BDI,Burundi,0.5676472814690269
KHM,Cambodia,0.7725842436756288
CMR,Cameroon,0.776847767603731
CAN,Canada,0.8038922068071839
CAF,Central African Republic,0.8531521820477062
TCD,Chad,0.789420045450283
CHL,Chile,0.6439018147897234
CH1,China,0.7733227989535274
COL,Colombia,0.7534015735706158
CRI,Costa Rica,0.6025531754724786
HRV,Croatia,0.4877727859047364
CU1,Cuba,0.6808827857159426
CYP,Cyprus,0.3938971321663878
CZE,Czechia,0.281611295378489
DN1,Denmark,0.0
DJI,Djibouti,0.0
DOM,Dominican Republic,0.5515914541713499
TLS,East Timor,0.5133553176370076
ECU,Ecuador,0.6617117436407488
EGY,Egypt,0.5021809224557473
SLV,El Salvador,0.5219612556148071
GNQ,Equatorial Guinea,0.4356468687174271
ERI,Eritrea,0.4629678668256287
EST,Estonia,0.0
ETH,Ethiopia,0.7871108072559748
FJI,Fiji,0.5332578109272499
FI1,Finland,0.3800424415771219
FR1,France,0.499780219510846
GAB,Gabon,0.6443300035728233
GMB,Gambia,0.6175547407763777
GEO,Georgia,0.515878163141627
DEU,Germany,0.4592645785420726
GHA,Ghana,0.7998249001568767
