sov_a3,Country,value
AFG,Afghanistan,0.0030674559858743
ALB,Albania,0.3390467601088802
DZA,Algeria,0.4397291840383124
AGO,Angola,0.0025482370277009
ARG,Argentina,0.3136744303477292
ARM,Armenia,0.8311649042708562
AU1,Australia,0.4029417448745234
AUT,Austria,0.4248472777465674
AZE,Azerbaijan,0.0299641042765754
BGD,Bangladesh,0.0859237538316473
BLR,Belarus,0.0095443450637386
BEL,Belgium,0.2627858963545885
BLZ,Belize,0.018281898706176
BEN,Benin,0.0011270733060563
BTN,Bhutan,0.0285196036875105
BIH,Bosnia and Herzegovina,0.0282102826327572
BWA,Botswana,0.0092490218724093
BGR,Bulgaria,0.1599313217750211
BFA,Burkina Faso,0.1515687075671442
BDI,Burundi,0.1302424017849104
KHM,Cambodia,0.0301626895515684
CMR,Cameroon,0.0016337344716769
CAN,Canada,0.0562208934092166
CAF,Central African Republic,0.1056960322840717
TCD,Chad,0.0
CHL,Chile,0.0557537515898015
CH1,China,0.365577155826511
COL,Colombia,0.0344190091023598
CRI,Costa Rica,0.4124348763980309
HRV,Croatia,0.0145997467933288
CU1,Cuba,0.272973265269992
CYP,Cyprus,0.0710677874183068
CZE,Czechia,0.296964315948448
COD,Democratic Republic of the Congo,0.1790058976686192
DN1,Denmark,0.3961889562701541
DJI,Djibouti,0.0038154183551376
DOM,Dominican Republic,0.3669926144736181
ECU,Ecuador,0.0376770723881492
EGY,Egypt,0.0091617865541877
SLV,El Salvador,0.3507640446788998
GNQ,Equatorial Guinea,0.0044338074820067
ERI,Eritrea,0.1515724227696875
EST,Estonia,0.0179462385925514
ETH,Ethiopia,0.0459449584869787
FJI,Fiji,0.0183824353828487
FI1,Finland,0.4152553393516783
FR1,France,0.0368667790246924
GAB,Gabon,0.0072383652687761
GMB,Gambia,0.2395590143201262
GEO,Georgia,0.2326929550764766
DEU,Germany,0.0347575904277479
GHA,Ghana,0.0024884332535745
GRC,Greece,0.0283755221446596
GTM,Guatemala,0.326783720525713
GIN,Guinea,0.1659685504143719
GNB,Guinea-Bissau,0.1865357069723189
GUY,Guyana,0.0244784126227397
HTI,Haiti,0.0054703633362762
HND,Honduras,0.0363668043481194
HUN,Hungary,0.0261813250125937
ISL,Iceland,0.0303513067446987
IDN,Indonesia,0.4044846221595575
IRQ,Iraq,0.2099314231432152
IRL,Ireland,0.0972867168115119
IS1,Israel,0.6278097325954957
ITA,Italy,0.043178386646763
JAM,Jamaica,0.3676037725935271
JPN,Japan,0.2834207736156168
JOR,Jordan,0.0130340478306407
KA1,Kazakhstan,0.0097733400120721
KEN,Kenya,0.0032818058684697
KWT,Kuwait,0.7496528004349216
KGZ,Kyrgyzstan,0.3761010728220972
LVA,Latvia,0.2337160202447717
LBN,Lebanon,0.0155014384066726
LSO,Lesotho,0.1002091724001714
LBR,Liberia,0.0015667394776686
LBY,Libya,0.4178490599535335
LTU,Lithuania,0.0429381135228798
LUX,Luxembourg,0.5492038964031569
MDG,Madagascar,0.1438735014670943
MWI,Malawi,0.001996628434384
MYS,Malaysia,0.4182400377406414
MLI,Mali,0.057751226530264
MRT,Mauritania,0.0035745872619266
MEX,Mexico,0.3279028054297637
MNG,Mongolia,0.0151723616864346
MNE,Montenegro,0.015301939614259
MAR,Morocco,0.009391707926132
MOZ,Mozambique,0.0283586050636433
MMR,Myanmar,0.0062884662173728
NAM,Namibia,0.0086303624573939
NPL,Nepal,0.3229633393136335
NL1,Netherlands,0.322343298908161
NZ1,New Zealand,0.0691469023878974
NIC,Nicaragua,0.0509041342096816
NER,Niger,0.1486809762093319
NGA,Nigeria,0.0009435684241131
MKD,North Macedonia,0.2674010702824441
NOR,Norway,0.0714604779422703
OMN,Oman,0.0417366357812502
PAN,Panama,0.0275400767335297
PNG,Papua New Guinea,0.0014252538272669
PRY,Paraguay,0.0350972800261884
PER,Peru,0.2445281359596934
PHL,Philippines,0.0344430882044349
POL,Poland,0.3085940674358405
PRT,Portugal,0.3984220243885034
QAT,Qatar,0.8316092475148017
ROU,Romania,0.0134443904408626
RWA,Rwanda,0.0038168732284919
SAU,Saudi Arabia,0.5319946063869465
SEN,Senegal,0.0022284106266355
SLE,Sierra Leone,0.0007861885764983
SVK,Slovakia,0.29015374944156
SVN,Slovenia,0.3408236682143102
SLB,Solomon Islands,0.0320433921134438
SOM,Somalia,0.0005276592840405
SDS,South Sudan,0.077610746228165
ESP,Spain,0.0399060718927264
LKA,Sri Lanka,0.0059477487494946
SDN,Sudan,0.0699456766414088
SUR,Suriname,0.0069658721170305
SWE,Sweden,0.0620092437817438
CHE,Switzerland,0.0546547370319444
TJK,Tajikistan,0.0106951967378284
THA,Thailand,0.0150514085623483
TGO,Togo,0.0277468785847906
TTO,Trinidad and Tobago,0.0210121891464983
TUN,Tunisia,0.3899344652849982
TUR,Turkey,0.3853680243229124
TKM,Turkmenistan,0.0339018540699986
UGA,Uganda,0.0016629349716044
UKR,Ukraine,0.2508366651215782
ARE,United Arab Emirates,0.0251458228193774
GB1,United Kingdom,0.0184457365210668
TZA,United Republic of Tanzania,0.1477221681930022
US1,United States of America,0.3448008737066746
URY,Uruguay,0.2605550251276328
UZB,Uzbekistan,0.0301285015267601
VUT,Vanuatu,0.0030391252390273
YEM,Yemen,0.2906026150064608
ZMB,Zambia,0.1417037595461408
ZWE,Zimbabwe,0.0043408076239265
SRB,Republic of Serbia,0.0
LAO,Laos,0.0
VNM,Vietnam,0.0
RUS,Russia,0.0
MDA,Moldova,0.0
PRK,North Korea,0.0
BHS,The Bahamas,0.0
BOL,Bolivia,0.0
SWZ,eSwatini,0.0
SYR,Syria,0.0
KOR,South Korea,0.0
TWN,Taiwan,0.0
CYN,Northern Cyprus,0.0
ZAF,South Africa,0.0
BRN,Brunei,0.0
BRA,Brazil,0.0
KOS,Kosovo,0.0
IRN,Iran,0.0
PAK,Pakistan,0.0
SAH,Western Sahara,0.0
VEN,Venezuela,0.0
IND,India,0.0
ATA,Antarctica,0.0
SOL,Somaliland,0.0
CIV,Ivory Coast,0.0
COG,Republic of the Congo,0.0
TLS,East Timor,0.0
