sov_a3,Country,value
AFG,Afghanistan,2.548377305881133e-05
ALB,Albania,0.0014249638308854
DZA,Algeria,0.0005804078007613
AGO,Angola,0.8828435461955838
ARG,Argentina,0.0686870494759447
ARM,Armenia,6.485322856528737e-05
AU1,Australia,0.7106633256845413
AUT,Austria,3.598381958842929e-05
AZE,Azerbaijan,0.0003447858416
BGD,Bangladesh,0.0039988477857437
BLR,Belarus,0.0001543895730466
BEL,Belgium,0.0
BLZ,Belize,0.0031309811948055
BEN,Benin,0.0181206783386922
BTN,Bhutan,0.0002815339273202
BOL,Bolivia,0.3760101204892921
BIH,Bosnia and Herzegovina,0.0007498726040106
BWA,Botswana,0.0215490235963267
BRA,Brazil,1.0
BRN,Brunei,3.083673795626362e-05
BGR,Bulgaria,0.0011783843068271
BFA,Burkina Faso,0.0569617230068509
BDI,Burundi,0.0012496885443714
KHM,Cambodia,0.0641427482927015
CMR,Cameroon,0.0696193117770809
CAN,Canada,0.1170671233432001
CAF,Central African Republic,0.3016787584195961
TCD,Chad,0.0886450300740548
CHL,Chile,0.0054100403137734
CH1,China,0.0650595922248596
COL,Colombia,0.0443664253623293
CRI,Costa Rica,0.0024440859940542
HRV,Croatia,0.0002692724350765
CU1,Cuba,0.0110111631736511
CYP,Cyprus,4.433352979172026e-05
CZE,Czechia,5.124205713800483e-06
DN1,Denmark,0.0
DJI,Djibouti,0.0
DOM,Dominican Republic,0.0009179191003212
TLS,East Timor,0.0004402470489379
ECU,Ecuador,0.0076179324507072
EGY,Egypt,0.0003551715085377
SLV,El Salvador,0.0005194206023997
GNQ,Equatorial Guinea,9.88925950926763e-05
ERI,Eritrea,0.0001671772114127
EST,Estonia,0.0
ETH,Ethiopia,0.0847973234809498
FJI,Fiji,0.0006453525330001
FI1,Finland,3.397073877229338e-05
FR1,France,0.0003391583656821
GAB,Gabon,0.0054547398582589
GMB,Gambia,0.0032607334037728
GEO,Georgia,0.000462116426895
DEU,Germany,0.0001556935003934
GHA,Ghana,0.1082655680003601
GRC,Greece,0.001194534705193
GTM,Guatemala,0.0154856241781254
GIN,Guinea,0.1437933561561795
GNB,Guinea-Bissau,0.0088098821771249
GUY,Guyana,0.012733079300835
HTI,Haiti,0.0003058967803791
HND,Honduras,0.0237281835797939
HUN,Hungary,8.205591917590328e-05
ISL,Iceland,0.0009205269550148
IND,India,0.0880057396594215
IDN,Indonesia,0.0273934547239366
IRN,Iran,0.0110069768805903
IRQ,Iraq,0.00669100023855
IRL,Ireland,1.4068689794586147e-05
IS1,Israel,0.0001566542889647
ITA,Italy,0.0018581193451301
JAM,Jamaica,0.0001400006203949
JPN,Japan,0.0001386280652929
JOR,Jordan,8.075199182908797e-06
KA1,Kazakhstan,0.0065011758679558
KEN,Kenya,0.0056546753847706
KOS,Kosovo,0.0002944588211966
KWT,Kuwait,1.2169988570276147e-05
KGZ,Kyrgyzstan,3.891193713917242e-05
LAO,Laos,0.0900632683849409
LVA,Latvia,3.5915191833333744e-06
LBN,Lebanon,0.0002299258554884
LSO,Lesotho,0.0015287061206715
LBR,Liberia,0.0126164121171726
LBY,Libya,6.471597305509629e-05
LTU,Lithuania,1.5235361631210363e-05
LUX,Luxembourg,0.0
MDG,Madagascar,0.1075585648673658
MWI,Malawi,0.0141182847856018
MYS,Malaysia,0.0025854362936327
MLI,Mali,0.0913192706827812
MRT,Mauritania,0.0020609143614374
MEX,Mexico,0.0793909433141148
MDA,Moldova,6.343492162664616e-05
MNG,Mongolia,0.0013573883680347
MNE,Montenegro,0.0005465285656625
MAR,Morocco,0.000117330585295
MOZ,Mozambique,0.358908838824789
MMR,Myanmar,0.1272897536108035
NAM,Namibia,0.0169891439126769
NPL,Nepal,0.009202844702802
NL1,Netherlands,6.313753468789882e-06
NZ1,New Zealand,0.0005406037028059
NIC,Nicaragua,0.0173657272808045
NER,Niger,0.0084509361420568
NGA,Nigeria,0.151507527595449
PRK,North Korea,0.0003471420611916
MKD,North Macedonia,0.0019817408079756
CYN,Northern Cyprus,1.8346486528874944e-05
NOR,Norway,4.4608040812102425e-06
OMN,Oman,0.0
PAK,Pakistan,0.0053207098525573
PAN,Panama,0.0018516912120695
PNG,Papua New Guinea,0.0071687409176885
PRY,Paraguay,0.0653870838721756
PER,Peru,0.0305727956101661
PHL,Philippines,0.0080062511649561
POL,Poland,6.686630938142328e-05
PRT,Portugal,0.0038402719196363
QAT,Qatar,0.0
ROU,Romania,0.0014534443492501
RUS,Russia,0.2849191972236321
RWA,Rwanda,0.000413322093022
SAU,Saudi Arabia,0.0001706085991675
SEN,Senegal,0.0504150698131851
SLE,Sierra Leone,0.0432380249371301
SVK,Slovakia,0.0
SVN,Slovenia,4.735315101592411e-06
SLB,Solomon Islands,4.302960244490496e-05
SOM,Somalia,0.0003131026946642
ZAF,South Africa,0.0755335144557045
KOR,South Korea,9.607885713375906e-07
SDS,South Sudan,0.4821336332457734
ESP,Spain,0.0014809183272067
LKA,Sri Lanka,0.0003580996260885
SDN,Sudan,0.089824603928637
SUR,Suriname,0.0032133345009202
SWE,Sweden,2.2235392650955667e-05
CHE,Switzerland,0.0
SYR,Syria,0.0014679019296569
TWN,Taiwan,3.797402448620001e-06
TJK,Tajikistan,4.49969314243105e-05
THA,Thailand,0.0459425990136087
TGO,Togo,0.0120614423376333
TTO,Trinidad and Tobago,0.000160932085699
TUN,Tunisia,7.661145060499027e-05
TUR,Turkey,0.0061520664777847
TKM,Turkmenistan,0.0002719489175252
UGA,Uganda,0.0238992268214103
UKR,Ukraine,0.0221413497505564
ARE,United Arab Emirates,5.4673444892781945e-06
GB1,United Kingdom,7.889904244150833e-05
URY,Uruguay,0.0002652005216075
UZB,Uzbekistan,0.0006739016791198
VUT,Vanuatu,0.0001399548685581
VEN,Venezuela,0.1922374825948575
VNM,Vietnam,0.0120419291792678
SAH,Western Sahara,0.0
YEM,Yemen,4.117665305732531e-07
ZMB,Zambia,0.4165723950070837
ZWE,Zimbabwe,0.0300861333228653
BHS,The Bahamas,0.0
SRB,Republic of Serbia,0.0
TZA,United Republic of Tanzania,0.0
ATA,Antarctica,0.0
COD,Democratic Republic of the Congo,0.0
SOL,Somaliland,0.0
CIV,Ivory Coast,0.0
COG,Republic of the Congo,0.0
US1,United States of America,0.0
SWZ,eSwatini,0.0
